processed_at,source,destination,category,confidence,method,legal_domain,authority,title,metadata_path
2026-08-06T20:49:37.069378+00:00,D:\Nova Legal\Indian Legal\raw\01-original.pdf,D:\Nova Legal\Indian Legal\Category\high_court_orders\01-original.pdf,high_court_orders,0.6476,rules,general_or_mixed,high_court,HIGH COURT OF DELHI:NEW DELHI,D:\Nova Legal\Indian Legal\Category\high_court_orders\01-original.pdf.metadata.json
2026-08-06T20:49:39.674866+00:00,D:\Nova Legal\Indian Legal\raw\12175.pdf,D:\Nova Legal\Indian Legal\Category\high_court_orders\12175.pdf,high_court_orders,0.6831,rules,partnership_law,high_court,IN THE HIGH COURT OF DELHI AT NEW DELHI,D:\Nova Legal\Indian Legal\Category\high_court_orders\12175.pdf.metadata.json
2026-08-06T20:49:42.361051+00:00,D:\Nova Legal\Indian Legal\raw\12782.pdf,D:\Nova Legal\Indian Legal\Category\high_court_orders\12782.pdf,high_court_orders,0.6831,rules,partnership_law,high_court,IN THE HIGH COURT OF DELHI AT NEW DELHI,D:\Nova Legal\Indian Legal\Category\high_court_orders\12782.pdf.metadata.json
2026-08-06T20:49:44.694603+00:00,D:\Nova Legal\Indian Legal\raw\16it.pdf,D:\Nova Legal\Indian Legal\Category\supreme_court_orders\16it.pdf,supreme_court_orders,0.712,rules,general_or_mixed,supreme_court,"lIIGII COUR'1- OF DEI,Ill: NEW DEI,III",D:\Nova Legal\Indian Legal\Category\supreme_court_orders\16it.pdf.metadata.json
2026-08-06T20:49:59.665687+00:00,D:\Nova Legal\Indian Legal\raw\2011amendmentinDMCAct1957_290420175B15D.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\2011amendmentinDMCAct1957_290420175B15D.pdf,unclassified,0.49,rules,general_or_mixed,unknown,2011amendmentinDMCAct1957_290420175B15D,D:\Nova Legal\Indian Legal\Category\unclassified\2011amendmentinDMCAct1957_290420175B15D.pdf.metadata.json
2026-08-06T20:50:02.329386+00:00,D:\Nova Legal\Indian Legal\raw\250882_english_01042024_0.pdf,D:\Nova Legal\Indian Legal\Category\bills\250882_english_01042024_0.pdf,bills,0.6831,rules,criminal_law,unknown,"THE BHARATIYASAKSHYAADHINIYAM, 2023",D:\Nova Legal\Indian Legal\Category\bills\250882_english_01042024_0.pdf.metadata.json
2026-08-06T20:50:05.052619+00:00,D:\Nova Legal\Indian Legal\raw\250883_english_01042024.pdf,D:\Nova Legal\Indian Legal\Category\bills\250883_english_01042024.pdf,bills,0.6831,rules,partnership_law,unknown,"THE BHARATIYA NYAYA SANHITA, 2023",D:\Nova Legal\Indian Legal\Category\bills\250883_english_01042024.pdf.metadata.json
2026-08-06T20:50:07.623971+00:00,D:\Nova Legal\Indian Legal\raw\250884_2_english_01042024.pdf,D:\Nova Legal\Indian Legal\Category\supreme_court_orders\250884_2_english_01042024.pdf,supreme_court_orders,0.712,rules,criminal_law,supreme_court,vlk/kkj.k,D:\Nova Legal\Indian Legal\Category\supreme_court_orders\250884_2_english_01042024.pdf.metadata.json
2026-08-06T20:50:10.460962+00:00,D:\Nova Legal\Indian Legal\raw\32.d3.pdf,D:\Nova Legal\Indian Legal\Category\supreme_court_judgments\32.d3.pdf,supreme_court_judgments,0.712,rules,labour_and_employment_law,supreme_court,HIGH COURT OF DELHI: NEW DELHI,D:\Nova Legal\Indian Legal\Category\supreme_court_judgments\32.d3.pdf.metadata.json
2026-08-06T20:50:14.497160+00:00,D:\Nova Legal\Indian Legal\raw\33.dhc.pdf,D:\Nova Legal\Indian Legal\Category\high_court_judgments\33.dhc.pdf,high_court_judgments,0.932,rules,family_law,high_court,HIGH COURT OF DELHI: NEW DELHI,D:\Nova Legal\Indian Legal\Category\high_court_judgments\33.dhc.pdf.metadata.json
2026-08-06T20:50:16.830124+00:00,D:\Nova Legal\Indian Legal\raw\33673_2026_1_12_72183_order_24-jul-2026.pdf,D:\Nova Legal\Indian Legal\Category\supreme_court_orders\33673_2026_1_12_72183_order_24-jul-2026.pdf,supreme_court_orders,0.712,rules,information_technology_law,supreme_court,ITEM NO.12 COURT NO.1 SECTION PIL-W,D:\Nova Legal\Indian Legal\Category\supreme_court_orders\33673_2026_1_12_72183_order_24-jul-2026.pdf.metadata.json
2026-08-06T20:50:21.682920+00:00,D:\Nova Legal\Indian Legal\raw\34.pdf,D:\Nova Legal\Indian Legal\Category\high_court_orders\34.pdf,high_court_orders,0.6476,rules,labour_and_employment_law,high_court,HIGH COURT OF DELHI: NEW DELHI,D:\Nova Legal\Indian Legal\Category\high_court_orders\34.pdf.metadata.json
