processed_at,source,confidence,top_scores,warnings
2026-08-06T20:49:59.665687+00:00,D:\Nova Legal\Indian Legal\raw\2011amendmentinDMCAct1957_290420175B15D.pdf,0.49,"{""central_acts"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0, ""rules"": 0.0}",Classification used first 15/29 pages.
2026-08-06T20:50:59.268922+00:00,D:\Nova Legal\Indian Legal\raw\76005082026CRLA8442017_144004.pdf,0.4265,"{""high_court_orders"": 5.6, ""recruitment_and_examinations"": 4.8, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0}",Classification used first 15/85 pages.
2026-08-06T20:51:20.758676+00:00,D:\Nova Legal\Indian Legal\raw\advertisement_for_senior_faculty_member.pdf,0.0,"{""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0, ""rules"": 0.0}",
2026-08-06T20:52:55.907409+00:00,D:\Nova Legal\Indian Legal\raw\AssamRifesAct20065B15D.pdf,0.476,"{""central_acts"": 7.0, ""notifications"": 7.0, ""gazette_publications"": 5.0, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0}",Classification used first 15/39 pages.
2026-08-06T20:53:48.752265+00:00,D:\Nova Legal\Indian Legal\raw\bank_account_details_dhc.pdf,0.5376,"{""high_court_orders"": 3.2, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",
2026-08-06T20:54:20.662923+00:00,D:\Nova Legal\Indian Legal\raw\BiharReorAct2000_1309135B15D.PDF,0.612,"{""ordinances"": 9.0, ""high_court_judgments"": 9.0, ""central_acts"": 8.5, ""notifications"": 7.0, ""gazette_publications"": 6.0, ""contracts_and_agreements"": 6.0, ""forms_and_schedules"": 3.0, ""constitution_and_constitutional_documents"": 0.0}",Classification used first 15/41 pages.
2026-08-06T20:55:15.163959+00:00,D:\Nova Legal\Indian Legal\raw\combinbed_pro_05.08.2026.pdf,0.5376,"{""high_court_orders"": 3.2, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",
2026-08-06T20:55:17.472932+00:00,D:\Nova Legal\Indian Legal\raw\combined_pro_31.07.2026.pdf,0.5376,"{""high_court_orders"": 3.2, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",
2026-08-06T20:55:26.593420+00:00,D:\Nova Legal\Indian Legal\raw\crpf_act19495B15D.pdf,0.476,"{""central_acts"": 7.0, ""notifications"": 7.0, ""gazette_publications"": 5.0, ""forms_and_schedules"": 3.0, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0}",
2026-08-06T20:58:34.410180+00:00,D:\Nova Legal\Indian Legal\raw\FC-RegulationAct-2010-C5B15D.pdf,0.5968,"{""central_acts"": 8.5, ""government_guidelines"": 8.0, ""notifications"": 7.0, ""gazette_publications"": 6.0, ""forms_and_schedules"": 3.0, ""regulations"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0}",Classification used first 15/23 pages.
2026-08-06T20:58:58.355881+00:00,D:\Nova Legal\Indian Legal\raw\FC-rules20115B15D.pdf,0.5,"{""gazette_publications"": 5.0, ""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0}",Classification used first 15/44 pages.
2026-08-06T21:01:13.980678+00:00,D:\Nova Legal\Indian Legal\raw\j_03082026.pdf,0.5376,"{""high_court_orders"": 3.2, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",
2026-08-06T21:01:16.108536+00:00,D:\Nova Legal\Indian Legal\raw\jud-03082026_odtt.pdf,0.0,"{""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0, ""rules"": 0.0}",
